frame_idx,frame_name,road_ratio
289,000289,0.32248798
290,000290,0.3144504
291,000291,0.3212182
292,000292,0.33066222
293,000293,0.33070412
294,000294,0.3252833
295,000295,0.34772718
296,000296,0.35993344
297,000297,0.35764736
298,000298,0.34451964
299,000299,0.34520745
300,000300,0.34492305
301,000301,0.3503549
302,000302,0.35296062
303,000303,0.3541224
304,000304,0.3578678
305,000305,0.3658591
306,000306,0.3725431
307,000307,0.34473127
308,000308,0.35568097
309,000309,0.38267273
310,000310,0.40799347
311,000311,0.4018209
312,000312,0.39851198
313,000313,0.39109167
314,000314,0.3938076
315,000315,0.39376792
316,000316,0.39123276
317,000317,0.38065562
318,000318,0.39861116
319,000319,0.4104625
320,000320,0.40831533
321,000321,0.36732066
322,000322,0.34118426
323,000323,0.29945108
324,000324,0.2915017
325,000325,0.2960628
326,000326,0.30453244
327,000327,0.3209713
328,000328,0.31761387
329,000329,0.31120542
330,000330,0.29551828
331,000331,0.28514835
332,000332,0.2981791
333,000333,0.31708258
334,000334,0.31309026
335,000335,0.29988095
336,000336,0.29308674
337,000337,0.28218552
338,000338,0.26829284
339,000339,0.26669458
340,000340,0.2705789
341,000341,0.2745139
342,000342,0.26946563
343,000343,0.2575614
344,000344,0.25320533
345,000345,0.25901636
346,000346,0.27213085
347,000347,0.2883118
348,000348,0.29267448
349,000349,0.2883581
350,000350,0.29095498
351,000351,0.28901502
352,000352,0.28446716
353,000353,0.29059565
354,000354,0.28755787
355,000355,0.27649134
356,000356,0.26022223
357,000357,0.24542348
358,000358,0.25081566
359,000359,0.26205635
360,000360,0.2692562
361,000361,0.27258277
362,000362,0.2784511
363,000363,0.28584498
364,000364,0.30092588
365,000365,0.32434195
366,000366,0.32462412
367,000367,0.31417707
368,000368,0.3160178
369,000369,0.31142145
370,000370,0.3003924
371,000371,0.30007276
372,000372,0.29747808
373,000373,0.28642035
374,000374,0.27719015
375,000375,0.2703276
376,000376,0.26868966
377,000377,0.26334158
378,000378,0.26345178
379,000379,0.26883295
380,000380,0.27971208
381,000381,0.2999978
382,000382,0.32715267
383,000383,0.35273796
384,000384,0.35376087
385,000385,0.33985496
386,000386,0.31314537
387,000387,0.29458356
388,000388,0.29021648
389,000389,0.27921608
390,000390,0.27805874
391,000391,0.28176668
392,000392,0.29132974
393,000393,0.29023412
394,000394,0.2907654
395,000395,0.29026937
396,000396,0.28839558
397,000397,0.2908602
398,000398,0.29569462
399,000399,0.2968101
400,000400,0.2840461
401,000401,0.26506546
402,000402,0.24969798
403,000403,0.23956175
404,000404,0.24997796
405,000405,0.2520127
406,000406,0.26190203
407,000407,0.28405273
408,000408,0.30282837
409,000409,0.27825713
410,000410,0.266214
411,000411,0.27792865
412,000412,0.2895463
413,000413,0.2879238
414,000414,0.2876813
415,000415,0.2984833
416,000416,0.31123847
417,000417,0.31710023
418,000418,0.31248403
419,000419,0.3225916
420,000420,0.32891628
421,000421,0.32203165
422,000422,0.31150082
423,000423,0.3008443
424,000424,0.30134913
425,000425,0.29778668
426,000426,0.27808958
427,000427,0.2621335
428,000428,0.25551784
429,000429,0.25606674
430,000430,0.28198934
431,000431,0.29059786
432,000432,0.3248093
433,000433,0.31052643
434,000434,0.3089833
435,000435,0.26968166
436,000436,0.2801045
437,000437,0.30716458
438,000438,0.32447422
439,000439,0.3261342
440,000440,0.3280477
441,000441,0.34162295
442,000442,0.3378158
443,000443,0.32122922
444,000444,0.31560338
445,000445,0.30534148
446,000446,0.30647898
447,000447,0.29993826
448,000448,0.29406992
449,000449,0.28929943
450,000450,0.27767074
451,000451,0.2686147
452,000452,0.28213704
453,000453,0.29593933
454,000454,0.30589038
455,000455,0.30988273
456,000456,0.30893257
457,000457,0.30969313
458,000458,0.3017261
459,000459,0.29157665
460,000460,0.28611612
461,000461,0.27281865
462,000462,0.2703805
463,000463,0.28725144
464,000464,0.31868082
465,000465,0.3453926
466,000466,0.37468585
467,000467,0.37849963
468,000468,0.34226665
469,000469,0.29795203
470,000470,0.2936246
471,000471,0.29402143
472,000472,0.3024646
473,000473,0.30742913
474,000474,0.3038689
475,000475,0.30514526
476,000476,0.3102751
477,000477,0.31794453
478,000478,0.3112958
479,000479,0.3022045
480,000480,0.30843878
481,000481,0.3125325
482,000482,0.30036595
483,000483,0.2863454
484,000484,0.2888607
485,000485,0.28981087
486,000486,0.29217848
487,000487,0.30100745
488,000488,0.29749128
489,000489,0.29687184
490,000490,0.2971099
491,000491,0.28318858
492,000492,0.26564306
493,000493,0.25011903
494,000494,0.2408624
495,000495,0.23756447
496,000496,0.24160972
497,000497,0.24850315
498,000498,0.25886646
499,000499,0.2532825
500,000500,0.25055555
501,000501,0.2422909
502,000502,0.23701997
503,000503,0.23629029
504,000504,0.23794144
505,000505,0.26637936
506,000506,0.29952383
507,000507,0.30532384
508,000508,0.3085997
509,000509,0.31201446
510,000510,0.30596092
511,000511,0.30585733
512,000512,0.2997531
513,000513,0.30066797
514,000514,0.30295402
515,000515,0.3064834
516,000516,0.2993629
517,000517,0.29251796
518,000518,0.28832063
